Date,Transaction,Name,Memo,Amount
2/3/2020,DEBIT,COSTCO WHSE #0143 MOUNTAIN,24431060033898000051715; 05300;,-68.28
2/3/2020,DEBIT,SQ *BOBA GUYS PALO ALT Palo Alto,24692160032100871595158; 05812;,-11.75
2/3/2020,DEBIT,GROCERY OUTLET OF P PALO ALTO,24427330033740255072173; 05411;,-6
2/3/2020,CREDIT,PAYMENT THANK YOU,WEB FUTURE; 00000;,200
2/3/2020,CREDIT,INTERNET PAYMENT THANK YOU,INTERNET; 00000;,200
1/29/2020,DEBIT,LIANGS VILLAGE CUPERTINO,24801970029091925000508; 05812;,-45
1/28/2020,DEBIT,76 - SEI 37997 PALO ALTO,24015170027003561965390; 05542;,0
1/27/2020,DEBIT,SHOWPLACE ICON MTNVW 312-756-3,24445000025500446149695; 07832;,-30
1/27/2020,DEBIT,COSTCO WHSE #0143 MOUNTAIN,24431060026898000087015; 05300;,-26.96
1/27/2020,DEBIT,CKE*IKE'S LOVE AND SAN MOUNTAIN,24445000026000609639722; 05812;,-13.35
1/27/2020,DEBIT,99 RANCH #1772 MOUNTAIN,24427330025740256919711; 05411;,-26.4
1/27/2020,DEBIT,SQ *BOBA GUYS PALO ALT Palo Alto,24692160026100469881398; 05812;,-11
1/27/2020,DEBIT,SQ *BOBA GUYS PALO ALT Palo Alto,24692160026100929108564; 05812;,-10.25
1/27/2020,DEBIT,SHC ONLINE PAYMENT 800-54937,24755420024160242186022; 08062;,-133.83
1/27/2020,DEBIT,SWEETGREEN SUNNYVALE SUNNYVALE,24692160024100433288623; 05814;,-14.12
1/27/2020,CREDIT,INTERNET PAYMENT THANK YOU,INTERNET; 00000;,300
1/24/2020,DEBIT,TM *LOUIS THE CHILD 800-653-8,24692160023100862956733; 07922;,-65.35
1/24/2020,DEBIT,AMZN Mktp US*KR6A57KS3 Amzn.com/,24692160024100311353275; 05942;,-21.75
1/23/2020,DEBIT,SPROUTS FARMERS MAR MOUNTAIN,24427330022710028160525; 05411;,-5.66
1/22/2020,DEBIT,IN N OUT BURGER 129 MOUNTAIN,24013390021002708518734; 05814;,-14.06
1/22/2020,DEBIT,GROCERY OUTLET OF P PALO ALTO,24427330021740253794236; 05411;,-12.96
